n,m,density,dijkstra,bellman_ford,prim
100,393,sparse,4.3167005060240626e-05,0.00013291701907292008,8.145798346959054e-05
100,1786,dense,0.00012045798939652741,0.0007563749968539923,nan
1000,3987,sparse,0.0005431659810710698,0.0022472499986179173,0.0011096659873146564
1000,19801,dense,0.0016018750029616058,0.011611082998570055,nan
5000,19986,sparse,0.0034899580059573054,0.015329374989960343,0.006979124998906627
5000,99799,dense,0.014818124996963888,0.13995691598393023,nan
